BBH_score_clustered,BBH_se,BBH_nsubtasks,MUSR_score_clustered,MUSR_se,MUSR_nsubtasks,model
0.35962543016562964,0.006031425697610108,24,0.381375,0.017398186190249285,3,0-hero/Matter-0.2-7B-DPO
0.6015685776542417,0.00603139549501159,24,0.4398229166666667,0.017794802892293102,3,01-ai/Yi-1.5-34B-32K
0.6100218256499571,0.005992561461130805,24,0.43976041666666665,0.017863299681403398,3,01-ai/Yi-1.5-34B-Chat-16K
0.6083748310271818,0.006075778415728999,24,0.4281979166666667,0.01754223979030112,3,01-ai/Yi-1.5-34B-Chat
0.5976391706360018,0.005960374067449147,24,0.4236041666666667,0.01768770518918726,3,01-ai/Yi-1.5-34B
0.4571311331954389,0.006286873448988912,24,0.43917708333333333,0.01756100588441609,3,01-ai/Yi-1.5-6B-Chat
0.44925820198929056,0.0061918393878087966,24,0.43740625,0.017825491972063356,3,01-ai/Yi-1.5-6B
0.496332115988265,0.006245543173466106,24,0.4186145833333333,0.017646829718716155,3,01-ai/Yi-1.5-9B-32K
0.5153383364651778,0.006244049196310728,24,0.40990624999999997,0.01743175185398776,3,01-ai/Yi-1.5-9B-Chat-16K
0.5559064302816848,0.006244188790840882,24,0.42590625,0.01743666610261187,3,01-ai/Yi-1.5-9B-Chat
0.514294179104191,0.006300894382468635,24,0.43278124999999995,0.01788202323435029,3,01-ai/Yi-1.5-9B
0.5441817925289527,0.006069051056354191,24,0.38171874999999994,0.01689030515571925,3,01-ai/Yi-34B-200K
0.5560872910766165,0.006067477018067116,24,0.39784375,0.017312669009049295,3,01-ai/Yi-34B-Chat
0.5457099951794562,0.006103859793215871,24,0.4118541666666667,0.017590239010775555,3,01-ai/Yi-34B
0.42892948109603307,0.006166364675158103,24,0.45873958333333337,0.01782388977433858,3,01-ai/Yi-6B-200K
0.413260192075487,0.006264916687564393,24,0.36879166666666663,0.017102431290292888,3,01-ai/Yi-6B-Chat
0.4309230591000865,0.00619030387662652,24,0.39368749999999997,0.017453577754659423,3,01-ai/Yi-6B
0.47933026020236413,0.006243617792060889,24,0.42940625,0.01779663034386836,3,01-ai/Yi-9B-200K
0.49396075125308075,0.006229068363426541,24,0.40540624999999997,0.017512736942315803,3,01-ai/Yi-9B
0.48142000339111674,0.00633450447096078,24,0.3991770833333333,0.017462749120158168,3,01-ai/Yi-Coder-9B-Chat
0.6284322714967583,0.005955298459214882,24,0.4490625,0.017856154947438974,3,1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct
0.65239015319562,0.0058610682983893094,24,0.4489375,0.018026950227192997,3,1-800-LLMs/Qwen-2.5-14B-Hindi
0.6710015642760666,0.005694430200375685,24,0.4913541666666667,0.018059277719511185,3,1024m/PHI-4-Hindi
0.653271132679638,0.005863674347191778,24,0.41,0.017419416496591168,3,1024m/QWEN-14B-B100
0.6102361685099691,0.006099164987476468,24,0.45820833333333333,0.017764640011059884,3,152334H/miqu-1-70b-sf
0.5052203113352468,0.006277832396341174,24,0.4375,0.01777117434598818,3,1TuanPham/T-VisStar-7B-v0.1
0.5052203113352468,0.006277832396341174,24,0.4375,0.01777117434598818,3,1TuanPham/T-VisStar-v0.1
